School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
TECHNOLOGY ACCESS FOUNDATION ACADEMY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,26630 40TH AVE S,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
"TECHNOLOGY, ENGINEERING AND COMMUNICATIONS",2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,830 SW 116TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
TEKOA ELEMENTARY SCHOOL,2015-16,15,86.7%,13.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,86.7%,100.0%,100.0%,86.7%,13,2,0,0,0,0,0,0,0,0,2,0,0,2,Y,PUBLIC SCHOOL,TEKOA SCHOOL DISTRICT,200 N BROADWAY,TEKOA,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
TEKOA HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TEKOA SCHOOL DISTRICT,513 E HENKLE,TEKOA,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
TENINO ELEMENTARY SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,3-5,N,N
TENINO HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TENINO MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
TERMINAL PARK ELEMENTARY SCHOOL,2015-16,73,79.5%,1.4%,12.3%,6.8%,0.0%,4.1%,2.7%,0.0%,84.9%,84.9%,86.3%,83.6%,90.4%,86.3%,58,1,9,5,0,3,2,0,11,11,10,12,7,10,Y,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,1101 D ST SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
TERRACE HEIGHTS ELEMENTARY,2015-16,89,97.8%,0.0%,0.0%,2.2%,0.0%,2.2%,0.0%,0.0%,98.9%,98.9%,97.8%,98.9%,98.9%,97.8%,87,0,0,2,0,2,0,0,1,1,2,1,1,2,Y,PUBLIC SCHOOL,EAST VALLEY SCHOOL DISTRICT (YAKIMA),408 EAST SEATTLE AVENUE,MOXEE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
TERRACE PARK ELEMENTARY,2015-16,64,81.3%,1.6%,10.9%,6.3%,1.6%,4.7%,0.0%,0.0%,89.1%,89.1%,93.8%,87.5%,96.9%,89.1%,52,1,7,4,1,3,0,0,7,7,4,8,2,7,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,5409 228TH ST SW,MOUNTLAKE TERRACE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
THE BEAR CREEK SCHOOL,2015-16,40,90.0%,0.0%,0.0%,10.0%,0.0%,10.0%,0.0%,0.0%,92.5%,92.5%,97.5%,95.0%,90.0%,97.5%,36,0,0,4,0,4,0,0,3,3,1,2,4,1,Y,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,8905 208TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y
THE BUSH SCHOOL,2015-16,39,84.6%,2.6%,0.0%,12.8%,2.6%,10.3%,0.0%,0.0%,97.4%,97.4%,92.3%,97.4%,84.6%,89.7%,33,1,0,5,1,4,0,0,1,1,3,1,6,4,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,3400 E HARRISON,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y
THE CENTER SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,305 HARRISON ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
THE CHILDREN'S INN ACADEMY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,OLYMPIA SCHOOL DISTRICT,1939 KAREN FRAZIER RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,Y,Y
THE CLEARWATER SCHOOL,2015-16,2,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,1,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,PRIVATE SCHOOL,NORTHSHORE SCHOOL DISTRICT,1510 196TH ST SE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
THE COMMUNITY SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,1025 W SPOFFORD AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
THE EASTSIDE MONTESSORI SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,1934 108TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
THE ISLAND SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,BAINBRIDGE ISLAND SCHOOL DISTRICT,8553 NE DAY RD,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N
THE LAKE AND PARK SCHOOL,2015-16,20,75.0%,5.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,85.0%,100.0%,90.0%,90.0%,75.0%,95.0%,15,1,0,4,0,4,0,0,3,0,2,2,5,1,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,3201 HUNTER BLVD S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
THE LITTLE SCHOOL,2015-16,24,87.5%,4.2%,0.0%,8.3%,8.3%,0.0%,0.0%,0.0%,95.8%,95.8%,91.7%,95.8%,91.7%,91.7%,21,1,0,2,2,0,0,0,1,1,2,1,2,2,Y,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,2812 116TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
THE PHOENIX RISING SCHOOL,2015-16,9,33.3%,0.0%,0.0%,66.7%,0.0%,66.7%,0.0%,0.0%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,3,0,0,6,0,6,0,0,6,6,6,6,6,6,Y,PRIVATE SCHOOL,RAINIER SCHOOL DISTRICT,13411 CEDAR GROVE LN,RAINIER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,Y,Y
THE RIVER ACADEMY,2015-16,11,63.6%,27.3%,0.0%,9.1%,0.0%,9.1%,0.0%,0.0%,63.6%,63.6%,63.6%,63.6%,72.7%,63.6%,7,3,0,1,0,1,0,0,4,4,4,4,3,4,Y,PRIVATE SCHOOL,WENATCHEE SCHOOL DISTRICT,650 CRAWFORD ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-12,Y,Y
THE SAMMAMISH MONTESSORI SCHOOL,2015-16,55,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,55,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,7655 178TH PL NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-4,Y,N
THE WELL-TRAINED MIND MONTESSORI,2015-16,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,KENT SCHOOL DISTRICT,19455 136TH PLACE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
THERESA AND ELIZABETHS SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,MONROE SCHOOL DISTRICT,23816 165TH AVE SE,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y
THOMAS JEFFERSON HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,4248 S 288TH ST,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
THOMPSON ELEMENTARY SCHOOL,2015-16,91,98.9%,0.0%,0.0%,1.1%,0.0%,1.1%,0.0%,0.0%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,90,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,PUBLIC SCHOOL,GRANDVIEW SCHOOL DISTRICT,1105 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
THOREAU ELEMENTARY,2015-16,69,69.6%,4.3%,20.3%,5.8%,2.9%,4.3%,0.0%,0.0%,79.7%,79.7%,84.1%,76.8%,89.9%,78.3%,48,3,14,4,2,3,0,0,14,14,11,16,7,15,Y,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,8224 NE 138TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
THORNDYKE ELEMENTARY,2015-16,75,84.0%,4.0%,8.0%,4.0%,1.3%,1.3%,1.3%,0.0%,88.0%,88.0%,89.3%,92.0%,94.7%,92.0%,63,3,6,3,1,1,1,0,9,9,8,6,4,6,Y,PUBLIC SCHOOL,TUKWILA SCHOOL DISTRICT,4415 S 150TH ST,TUKWILA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
THORNTON CREEK ELEMENTARY SCHOOL,2015-16,77,75.3%,0.0%,19.5%,5.2%,1.3%,5.2%,0.0%,0.0%,92.2%,93.5%,88.3%,88.3%,83.1%,87.0%,58,0,15,4,1,4,0,0,6,5,9,9,13,10,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,7711 43 AV NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
THORP ELEM AND JR SR HIGH,2015-16,11,81.8%,18.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,90.9%,100.0%,90.9%,90.9%,81.8%,9,2,0,0,0,0,0,0,0,1,0,1,1,2,Y,PUBLIC SCHOOL,THORP SCHOOL DISTRICT,PO BOX 150,THORP,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -12,Y,Y
THREE CEDARS WALDORF SCHOOL,2015-16,35,40.0%,17.1%,0.0%,42.9%,0.0%,42.9%,0.0%,0.0%,57.1%,57.1%,48.6%,51.4%,62.9%,45.7%,14,6,0,15,0,15,0,0,15,15,18,17,13,19,Y,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,556 124TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
THREE POINTS ELEMENTARY,2015-16,29,89.7%,0.0%,10.3%,0.0%,0.0%,0.0%,0.0%,0.0%,89.7%,89.7%,93.1%,93.1%,100.0%,89.7%,26,0,3,0,0,0,0,0,3,3,2,2,0,3,Y,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,7800 NE 28TH ST,MEDINA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
THREE RIVERS CHRISTIAN SCHOOL--KELSO JR./SR. HIGH CAMPUS,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,KELSO SCHOOL DISTRICT,1209 MINOR RD,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,8-12,N,N
THREE RIVERS CHRISTIAN SCHOOL-LONGVIEW ELEM,2015-16,28,85.7%,0.0%,10.7%,3.6%,3.6%,0.0%,0.0%,0.0%,85.7%,85.7%,100.0%,89.3%,89.3%,100.0%,24,0,3,1,1,0,0,0,4,4,0,3,3,0,Y,PRIVATE SCHOOL,LONGVIEW SCHOOL DISTRICT,2610 OCEAN BEACH HWY,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,P-12,Y,Y
THREE SPRINGS HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CHENEY SCHOOL DISTRICT,520 FOURTH STREET,CHENEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
THREE TREE MONTESSORI,2015-16,30,63.3%,16.7%,3.3%,16.7%,3.3%,13.3%,0.0%,0.0%,93.3%,93.3%,73.3%,83.3%,83.3%,73.3%,19,5,1,5,1,4,0,0,2,2,8,5,5,8,Y,PRIVATE SCHOOL,HIGHLINE SCHOOL DISTRICT,220 SW 160TH ST,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
THUNDER MOUNTAIN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ENUMCLAW SCHOOL DISTRICT,42018 264TH AVENUE SE,ENUMCLAW,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
THURGOOD MARSHALL ELEMENTARY,2015-16,45,80.0%,2.2%,17.8%,0.0%,0.0%,0.0%,0.0%,0.0%,91.1%,91.1%,88.9%,88.9%,95.6%,80.0%,36,1,8,0,0,0,0,0,4,4,5,5,2,9,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,2401 S IRVING ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
THURGOOD MARSHALL MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,3939 20TH AVE NW,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
TIETON INTERMEDIATE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,HIGHLAND SCHOOL DISTRICT,PO BOX 6,TIETON,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,4-6,N,Y
TIFFANY PARK ELEMENTARY SCHOOL,2015-16,84,86.9%,1.2%,3.6%,8.3%,2.4%,3.6%,1.2%,1.2%,91.7%,91.7%,90.5%,90.5%,91.7%,89.3%,73,1,3,7,2,3,1,1,7,7,8,8,7,9,Y,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,1601 LAKE YOUNGS WAY SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
TIGER MOUNTAIN COMMUNITY HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,355 SE EVANS LN,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
TILDEN SCHOOL,2015-16,15,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,4105 CALIFORNIA AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N
TILLICUM ELEMENTARY SCHOOL,2015-16,63,92.1%,3.2%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,95.2%,95.2%,92.1%,95.2%,96.8%,92.1%,58,2,3,0,0,0,0,0,3,3,5,3,2,5,Y,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,8514 MAPLE ST SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
TILLICUM MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,BELLEVUE SCHOOL DISTRICT,16020 SE 16TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
TIMBERCREST JUNIOR HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,19115 215 WY NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
TIMBERLINE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,6120 MULLEN RD SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TLC MONTESSORI,2015-16,22,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,22,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,21512 NE 16TH ST,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
TODD BEAMER HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,35999 16TH AV S,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
TOLEDO ELEMENTARY SCHOOL,2015-16,42,85.7%,4.8%,7.1%,2.4%,2.4%,0.0%,0.0%,0.0%,95.2%,95.2%,97.6%,90.5%,95.2%,92.9%,36,2,3,1,1,0,0,0,2,2,1,4,2,3,Y,PUBLIC SCHOOL,TOLEDO SCHOOL DISTRICT,PO BOX 549,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N
TOLEDO HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TOLEDO SCHOOL DISTRICT,PO BOX 820,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TOLEDO MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TOLEDO SCHOOL DISTRICT,PO BOX 668,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
TOLT MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,RIVERVIEW SCHOOL DISTRICT,3740 TOLT AVE,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
TONASKET ELEMENTARY SCHOOL,2015-16,92,81.5%,1.1%,13.0%,4.3%,2.2%,2.2%,0.0%,0.0%,85.9%,84.8%,85.9%,87.0%,95.7%,82.6%,75,1,12,4,2,2,0,0,13,14,13,12,4,16,Y,PUBLIC SCHOOL,TONASKET SCHOOL DISTRICT,35ES HIGHWAY 20,TONASKET,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-5,Y,N
TONASKET HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TONASKET SCHOOL DISTRICT,35HS HIGHWAY 20,TONASKET,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
TONASKET MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TONASKET SCHOOL DISTRICT,35MS HIGHWAY 20,TONASKET,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,N,Y
TOPPENISH HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TOPPENISH SCHOOL DISTRICT,141 WARD ROAD,TOPPENISH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
TOPPENISH MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TOPPENISH SCHOOL DISTRICT,104 GOLDENDALE AVENUE,TOPPENISH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,6-8,N,Y
TOPS K-8 SCHOOL,2015-16,52,82.7%,0.0%,15.4%,1.9%,0.0%,1.9%,0.0%,0.0%,94.2%,94.2%,92.3%,90.4%,96.2%,88.5%,43,0,8,1,0,1,0,0,3,3,4,5,2,6,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,2500 FRANKLIN AV E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y
TORAH DAY SCHOOL OF SEATTLE,2015-16,7,85.7%,0.0%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,6,0,1,0,0,0,0,0,1,1,1,1,1,1,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,3528 S FERDINAND ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
