School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
SUNSET VIEW ELEMENTARY SCHOOL,2016-17,Y,96,90.6%,3.1%,0.0%,6.3%,0.0%,6.3%,0.0%,0.0%,96.9%,96.9%,97.9%,96.9%,99.0%,95.8%,87,3,0,6,0,6,0,0,3,3,2,3,1,4,PUBLIC SCHOOL,KENNEWICK SCHOOL DISTRICT,711 NORTH CENTER PARKWAY,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,1,0,
SUNSHINE MOUNTAIN CHRISTIAN,2016-17,Y,30,83.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,0.0%,86.7%,86.7%,83.3%,86.7%,86.7%,83.3%,25,0,0,5,0,5,0,0,4,4,5,4,4,5,PRIVATE SCHOOL,KENT SCHOOL DISTRICT,25125 132ND AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-K,1,0,
SUQUAMISH ELEMENTARY SCHOOL,2016-17,Y,53,92.5%,1.9%,0.0%,5.7%,0.0%,5.7%,0.0%,0.0%,94.3%,94.3%,98.1%,94.3%,94.3%,94.3%,49,1,0,3,0,3,0,0,3,3,1,3,3,3,PUBLIC SCHOOL,NORTH KITSAP SCHOOL DISTRICT,18950 PARK AVE NE,SUQUAMISH,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,1,0,
SURPRISE LAKE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FIFE SCHOOL DISTRICT,2001 MILTON WAY,MILTON,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-7,0,1,
SWAN SCHOOL,2016-17,Y,9,33.3%,11.1%,33.3%,22.2%,0.0%,22.2%,0.0%,0.0%,66.7%,66.7%,44.4%,55.6%,66.7%,44.4%,3,1,3,2,0,2,0,0,3,3,5,4,3,5,PRIVATE SCHOOL,PORT TOWNSEND SCHOOL DISTRICT,2345 KUHN ST,PORT TOWNSEND,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-6,1,1,
SWIFTWATER LEARNING CENTER,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CLE ELUM-ROSLYN SCHOOL DISTRICT,P.O. BOX 906,ROSLYN,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,8-12,0,0,
SYLVAN WAY CHRISTIAN EARLY CHILDHOOD CENTER,2016-17,Y,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,BREMERTON SCHOOL DISTRICT,900 SYLVAN WAY,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-K,1,0,
SYLVESTER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,16222 SYLVESTER ROAD SW,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,0,0,
SYNERGY LEARNING ACADEMY,2016-17,Y,11,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,ISSAQUAH SCHOOL DISTRICT,1555 NW SAMMAMISH RD,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,1,1,
TACOMA SCHOOL OF THE ARTS,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,1950 PACIFIC AVENUE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,0,0,
TACOMA WALDORF SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,TACOMA SCHOOL DISTRICT,3315 S 19TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,1,0,
TAHOLAH ELEMENTARY & MIDDLE SCHOOL,2016-17,Y,13,61.5%,15.4%,23.1%,0.0%,0.0%,0.0%,0.0%,0.0%,69.2%,69.2%,61.5%,69.2%,84.6%,69.2%,8,2,3,0,0,0,0,0,4,4,5,4,2,4,PUBLIC SCHOOL,TAHOLAH SCHOOL DISTRICT,PO BOX 249,TAHOLAH,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -8,1,1,
TAHOLAH HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TAHOLAH SCHOOL DISTRICT,PO BOX 249,TAHOLAH,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,
TAHOMA JR HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TAHOMA SCHOOL DISTRICT,25600 SE SUMMIT LANDSBURG ROAD,RAVENSDALE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,0,0,
TAHOMA MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TAHOMA SCHOOL DISTRICT,24425 SE 216TH ST,MAPLE VALLEY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-7,0,1,
TAHOMA SENIOR HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TAHOMA SCHOOL DISTRICT,18200 SE 240TH ST,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,0,0,
TALBOT HILL ELEMENTARY SCHOOL,2016-17,Y,80,97.5%,1.3%,0.0%,1.3%,1.3%,0.0%,0.0%,0.0%,98.8%,98.8%,100.0%,97.5%,98.8%,100.0%,78,1,0,1,1,0,0,0,1,1,0,2,1,0,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,2300 TALBOT RD S,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
TAPROOT SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,9131 CALIFORNIA AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,
TAPTEAL ELEMENTARY SCHOOL,2016-17,Y,94,92.6%,3.2%,2.1%,2.1%,0.0%,2.1%,0.0%,0.0%,95.7%,95.7%,95.7%,95.7%,97.9%,93.6%,87,3,2,2,0,2,0,0,4,4,4,4,2,6,PUBLIC SCHOOL,RICHLAND SCHOOL DISTRICT,705 N 62ND AVE,WEST RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,1,0,
TEAM HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WOODLAND SCHOOL DISTRICT,800 THIRD STREET,WOODLAND,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,9-12,0,0,
TECHNOLOGY ACCESS FOUNDATION ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,26630 40TH AVE S,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,0,1,
"TECHNOLOGY, ENGINEERING AND COMMUNICATIONS",2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,830 SW 116TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
TEKOA ELEMENTARY SCHOOL,2016-17,Y,18,83.3%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,83.3%,100.0%,100.0%,83.3%,15,3,0,0,0,0,0,0,0,0,3,0,0,3,PUBLIC SCHOOL,TEKOA SCHOOL DISTRICT,200 N BROADWAY,TEKOA,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-6,1,1,
TEKOA HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TEKOA SCHOOL DISTRICT,513 E HENKLE,TEKOA,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,7-12,0,0,
TENINO ELEMENTARY SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,3-5,0,0,
TENINO HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,
TENINO MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,0,1,
TERMINAL PARK ELEMENTARY SCHOOL,2016-17,Y,70,75.7%,0.0%,18.6%,5.7%,1.4%,4.3%,0.0%,0.0%,82.9%,82.9%,81.4%,80.0%,88.6%,78.6%,53,0,13,4,1,3,0,0,12,12,13,14,8,15,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,1101 D ST SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
TERRACE HEIGHTS ELEMENTARY,2016-17,Y,89,96.6%,0.0%,0.0%,3.4%,0.0%,3.4%,0.0%,0.0%,97.8%,97.8%,97.8%,97.8%,96.6%,97.8%,86,0,0,3,0,3,0,0,2,2,2,2,3,2,PUBLIC SCHOOL,EAST VALLEY SCHOOL DISTRICT (YAKIMA),408 EAST SEATTLE AVENUE,MOXEE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
TERRACE PARK ELEMENTARY,2016-17,Y,59,88.1%,1.7%,8.5%,1.7%,0.0%,1.7%,0.0%,0.0%,94.9%,94.9%,93.2%,93.2%,94.9%,89.8%,52,1,5,1,0,1,0,0,3,3,4,4,3,6,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,5409 228TH ST SW,MOUNTLAKE TERRACE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,
THE BEAR CREEK SCHOOL,2016-17,Y,47,95.7%,0.0%,0.0%,4.3%,0.0%,4.3%,0.0%,0.0%,95.7%,100.0%,100.0%,97.9%,95.7%,100.0%,45,0,0,2,0,2,0,0,2,0,0,1,2,0,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,8905 208TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,1,1,
THE BRIDGE SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,HIGHLINE SCHOOL DISTRICT,"1005 SW 152ND ST
(MAIL: PO BOX 48074
BURIEN 98148-0074)",BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,
THE BUSH SCHOOL,2016-17,Y,31,90.3%,0.0%,0.0%,9.7%,3.2%,6.5%,0.0%,0.0%,96.8%,96.8%,96.8%,93.5%,96.8%,93.5%,28,0,0,3,1,2,0,0,1,1,1,2,1,2,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,3400 E HARRISON,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,1,1,
THE CENTER SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,305 HARRISON ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
THE CHILDREN'S INN ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,OLYMPIA SCHOOL DISTRICT,1939 KAREN FRAZIER RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,1,1,
THE CLEARWATER SCHOOL,2016-17,Y,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,NORTHSHORE SCHOOL DISTRICT,1510 196TH ST SE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,1,1,
THE COMMUNITY SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,1025 W SPOFFORD AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
THE EASTSIDE MONTESSORI SCHOOL,2016-17,Y,6,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,1934 108TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,1,0,
THE GEMINI SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,2227 112TH AVE NE  SUITE 202,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,,,
THE ISLAND SCHOOL,2016-17,Y,9,77.8%,0.0%,0.0%,22.2%,0.0%,22.2%,0.0%,0.0%,88.9%,88.9%,88.9%,88.9%,77.8%,77.8%,7,0,0,2,0,2,0,0,1,1,1,1,2,2,PRIVATE SCHOOL,BAINBRIDGE ISLAND SCHOOL DISTRICT,8553 NE DAY RD,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,
THE LAKE AND PARK SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,3201 HUNTER BLVD S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,1,1,
THE LITTLE SCHOOL,2016-17,Y,23,91.3%,0.0%,0.0%,8.7%,0.0%,8.7%,0.0%,0.0%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,21,0,0,2,0,2,0,0,2,2,2,2,2,2,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,2812 116TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,1,1,
THE MADRONE SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,NORTHSHORE SCHOOL DISTRICT,15703 223RD AVE NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,3-6,,,
THE MOOSE PROJECT,2016-17,Y,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SPOKANE SCHOOL DISTRICT,801 E 2ND AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-1,1,0,
THE PHOENIX RISING SCHOOL,2016-17,Y,7,71.4%,0.0%,0.0%,28.6%,0.0%,28.6%,0.0%,0.0%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,5,0,0,2,0,2,0,0,2,2,2,2,2,2,PRIVATE SCHOOL,RAINIER SCHOOL DISTRICT,13411 CEDAR GROVE LN,RAINIER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,1,1,
THE RIVER ACADEMY,2016-17,Y,12,83.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,0.0%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,10,0,0,2,0,2,0,0,2,2,2,2,2,2,PRIVATE SCHOOL,WENATCHEE SCHOOL DISTRICT,650 CRAWFORD ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-12,1,1,
THE SAMMAMISH MONTESSORI SCHOOL,2016-17,Y,25,96.0%,0.0%,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,24,0,1,0,0,0,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,7655 178TH PL NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-4,1,0,
THE WELL-TRAINED MIND MONTESSORI,2016-17,Y,7,71.4%,0.0%,14.3%,14.3%,0.0%,14.3%,0.0%,0.0%,100.0%,100.0%,100.0%,85.7%,85.7%,85.7%,5,0,1,1,0,1,0,0,0,0,0,1,1,1,PRIVATE SCHOOL,KENT SCHOOL DISTRICT,19455 136TH PLACE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,1,0,
THOMPSON ELEMENTARY SCHOOL,2016-17,Y,98,95.9%,1.0%,0.0%,3.1%,0.0%,3.1%,0.0%,0.0%,96.9%,96.9%,98.0%,98.0%,98.0%,96.9%,94,1,0,3,0,3,0,0,3,3,2,2,2,3,PUBLIC SCHOOL,GRANDVIEW SCHOOL DISTRICT,1105 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,1,0,
THOREAU ELEMENTARY,2016-17,Y,64,79.7%,0.0%,15.6%,4.7%,0.0%,4.7%,0.0%,0.0%,90.6%,90.6%,87.5%,87.5%,87.5%,84.4%,51,0,10,3,0,3,0,0,6,6,8,8,8,10,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,8224 NE 138TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
THORNDYKE ELEMENTARY,2016-17,Y,75,84.0%,4.0%,8.0%,4.0%,1.3%,1.3%,1.3%,0.0%,88.0%,88.0%,89.3%,92.0%,94.7%,92.0%,63,3,6,3,1,1,1,0,9,9,8,6,4,6,PUBLIC SCHOOL,TUKWILA SCHOOL DISTRICT,4415 S 150TH ST,TUKWILA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
THORNTON CREEK ELEMENTARY SCHOOL,2016-17,Y,91,72.5%,0.0%,15.4%,12.1%,1.1%,12.1%,1.1%,0.0%,85.7%,85.7%,85.7%,79.1%,82.4%,81.3%,66,0,14,11,1,11,1,0,13,13,13,19,16,17,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,7711 43 AV NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
THORP ELEM AND JR SR HIGH,2016-17,Y,12,8.3%,8.3%,83.3%,0.0%,0.0%,0.0%,0.0%,0.0%,58.3%,58.3%,75.0%,41.7%,50.0%,66.7%,1,1,10,0,0,0,0,0,5,5,3,7,6,4,PUBLIC SCHOOL,THORP SCHOOL DISTRICT,PO BOX 150,THORP,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -12,1,1,
THREE POINTS ELEMENTARY,2016-17,Y,19,89.5%,0.0%,0.0%,10.5%,0.0%,10.5%,0.0%,0.0%,94.7%,100.0%,94.7%,94.7%,89.5%,89.5%,17,0,0,2,0,2,0,0,1,0,1,1,2,2,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,7800 NE 28TH ST,MEDINA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,1,1,
THREE RIVERS CHRISTIAN SCHOOL--KELSO JR./SR. HIGH CAMPUS,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,KELSO SCHOOL DISTRICT,1209 MINOR RD,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,8-12,0,0,
THREE RIVERS CHRISTIAN SCHOOL-LONGVIEW ELEM,2016-17,Y,23,91.3%,0.0%,8.7%,0.0%,0.0%,0.0%,0.0%,0.0%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,21,0,2,0,0,0,0,0,2,2,2,2,2,2,PRIVATE SCHOOL,LONGVIEW SCHOOL DISTRICT,2610 OCEAN BEACH HWY,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,P-12,1,1,
THREE SPRINGS HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CHENEY SCHOOL DISTRICT,520 FOURTH STREET,CHENEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
THREE TREE MONTESSORI,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,HIGHLINE SCHOOL DISTRICT,220 SW 160TH ST,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,1,1,
THUNDER MOUNTAIN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ENUMCLAW SCHOOL DISTRICT,42018 264TH AVENUE SE,ENUMCLAW,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
THURGOOD MARSHALL ELEMENTARY,2016-17,Y,40,95.0%,0.0%,2.5%,2.5%,2.5%,0.0%,0.0%,0.0%,97.5%,97.5%,95.0%,97.5%,100.0%,97.5%,38,0,1,1,1,0,0,0,1,1,2,1,0,1,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,2401 S IRVING ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
THURGOOD MARSHALL MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,3939 20TH AVE NW,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,0,1,
TIETON INTERMEDIATE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLAND SCHOOL DISTRICT,PO BOX 6,TIETON,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,4-6,0,1,
TIFFANY PARK ELEMENTARY SCHOOL,2016-17,Y,68,92.6%,2.9%,2.9%,1.5%,0.0%,1.5%,0.0%,0.0%,94.1%,94.1%,95.6%,92.6%,98.5%,94.1%,63,2,2,1,0,1,0,0,4,4,3,5,1,4,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,1601 LAKE YOUNGS WAY SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
