School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
ARLINGTON ELEMENTARY,2014-15,112,74.1%,0.9%,11.6%,13.4%,0.9%,8.0%,0.9%,0.9%,83.9%,83.9%,88.4%,83.9%,92.0%,79.5%,83,1,13,15,1,9,1,1,18,18,13,18,9,23,Y,SPOKANE SCHOOL DISTRICT,6363 N SMITH ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
ARLINGTON ELEMENTARY SCHOOL,2014-15,45,95.6%,0.0%,4.4%,0.0%,0.0%,0.0%,0.0%,0.0%,97.8%,100.0%,97.8%,95.6%,100.0%,97.8%,43,0,2,0,0,0,0,0,1,0,1,2,0,1,Y,TACOMA SCHOOL DISTRICT,3002 S 72ND ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ARLINGTON HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ARLINGTON SCHOOL DISTRICT,18821 CROWN RIDGE BLVD,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ARMIN JAHR ELEMENTARY,2014-15,87,73.6%,2.3%,24.1%,0.0%,0.0%,0.0%,0.0%,0.0%,85.1%,85.1%,87.4%,83.9%,87.4%,85.1%,64,2,21,0,0,0,0,0,13,13,11,14,11,13,Y,BREMERTON SCHOOL DISTRICT,800 DIBB STREET,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
ARROWHEAD ELEMENTARY,2014-15,47,89.4%,0.0%,2.1%,8.5%,2.1%,6.4%,0.0%,0.0%,93.6%,93.6%,91.5%,93.6%,97.9%,93.6%,42,0,1,4,1,3,0,0,3,3,4,3,1,3,Y,NORTHSHORE SCHOOL DISTRICT,6725 NE ARROWHEAD DR,KENMORE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
ARTHUR JACOBSEN ELEMENTARY,2014-15,71,85.9%,2.8%,7.0%,4.2%,2.8%,1.4%,0.0%,0.0%,91.5%,91.5%,95.8%,88.7%,95.8%,95.8%,61,2,5,3,2,1,0,0,6,6,3,8,3,3,Y,AUBURN SCHOOL DISTRICT,29205 132ND AVE SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARTONDALE ELEMENTARY SCHOOL,2014-15,67,95.5%,1.5%,0.0%,3.0%,1.5%,0.0%,0.0%,1.5%,97.0%,97.0%,97.0%,98.5%,98.5%,97.0%,64,1,0,2,1,0,0,1,2,2,2,1,1,2,Y,PENINSULA SCHOOL DISTRICT,6219 40TH STREET NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ARTS AND ACADEMICS ACADEMY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,830 SW 116TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
ARTZ FOX ELEMENTARY,2014-15,92,62.0%,1.1%,37.0%,0.0%,0.0%,0.0%,0.0%,0.0%,67.4%,67.4%,69.6%,66.3%,69.6%,68.5%,57,1,34,0,0,0,0,0,30,30,28,31,28,29,Y,MABTON SCHOOL DISTRICT,P.O. BOX 40,MABTON,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -6,Y,Y
ASOTIN ELEMENTARY,2014-15,33,87.9%,0.0%,0.0%,12.1%,9.1%,3.0%,0.0%,0.0%,90.9%,90.9%,90.9%,90.9%,93.9%,87.9%,29,0,0,4,3,1,0,0,3,3,3,3,2,4,Y,ASOTIN-ANATONE SCHOOL DISTRICT,PO BOX 489,ASOTIN,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y
ASOTIN JR SR HIGH,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ASOTIN-ANATONE SCHOOL DISTRICT,215 SECOND ST,ASOTIN,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,7-12,N,N
ASPIRE MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH THURSTON PUBLIC SCHOOLS,5900 54TH AVE SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
ASSUMPTION CATHOLIC SCHOOL,2014-15,20,85.0%,10.0%,0.0%,5.0%,0.0%,5.0%,0.0%,0.0%,90.0%,90.0%,90.0%,90.0%,90.0%,85.0%,17,2,0,1,0,1,0,0,2,2,2,2,2,3,Y,BELLINGHAM SCHOOL DISTRICT,2116 CORNWALL AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
ASSUMPTION GRADE SCHOOL,2014-15,16,68.8%,18.8%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,81.3%,87.5%,81.3%,81.3%,87.5%,68.8%,11,3,2,0,0,0,0,0,3,2,3,3,2,5,Y,WALLA WALLA PUBLIC SCHOOLS,2066 E ALDER ST,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
ASSUMPTION SCHOOL,2014-15,16,93.8%,0.0%,0.0%,6.3%,0.0%,6.3%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,93.8%,15,0,0,1,0,1,0,0,0,0,0,0,0,1,Y,SPOKANE SCHOOL DISTRICT,3618 W INDIAN TRAIL RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ASSUMPTION ST. BRIDGET,2014-15,56,98.2%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,98.2%,100.0%,100.0%,100.0%,55,0,1,0,0,0,0,0,0,0,1,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,6220 32ND AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
AUBURN ADVENTIST ACADEMY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,AUBURN SCHOOL DISTRICT,5000 AUBURN WAY S,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN MOUNTAINVIEW HIGH SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AUBURN SCHOOL DISTRICT,28900 124TH AVE SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN RIVERSIDE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,AUBURN SCHOOL DISTRICT,501 ORAVETZ RD SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN SENIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,AUBURN SCHOOL DISTRICT,800 4TH ST NE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUDUBON ELEMENTARY,2014-15,88,15.9%,0.0%,83.0%,1.1%,0.0%,1.1%,0.0%,0.0%,46.6%,46.6%,43.2%,30.7%,64.8%,40.9%,14,0,73,1,0,1,0,0,47,47,50,61,31,52,Y,LAKE WASHINGTON SCHOOL DISTRICT,3045 180TH NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
AUDUBON ELEMENTARY,2014-15,83,69.9%,0.0%,25.3%,4.8%,1.2%,0.0%,1.2%,0.0%,78.3%,78.3%,78.3%,75.9%,88.0%,78.3%,58,0,21,4,1,0,1,0,18,18,18,20,10,18,Y,SPOKANE SCHOOL DISTRICT,2020 W CARLISLE AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
AVANTI HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OLYMPIA SCHOOL DISTRICT,1113 LEGION WAY SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
AYLEN JR HIGH,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUYALLUP SCHOOL DISTRICT,101 15TH ST NW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
B F DAY ELEMENTARY SCHOOL,2014-15,75,68.0%,0.0%,29.3%,2.7%,0.0%,2.7%,0.0%,0.0%,100.0%,100.0%,80.0%,76.0%,82.7%,78.7%,51,0,22,2,0,2,0,0,0,0,15,18,13,16,Y,SEATTLE PUBLIC SCHOOLS,3921 LINDEN AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BADGER MOUNTAIN ELEMENTARY,2014-15,113,95.6%,0.0%,2.7%,1.8%,0.0%,0.9%,0.9%,0.0%,99.1%,99.1%,99.1%,99.1%,99.1%,98.2%,108,0,3,2,0,1,1,0,1,1,1,1,1,2,Y,RICHLAND SCHOOL DISTRICT,1515 ELEMENTARY STREET,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
BAILEY GATZERT ELEMENTARY SCHOOL,2014-15,68,79.4%,0.0%,17.6%,2.9%,2.9%,1.5%,0.0%,0.0%,100.0%,100.0%,88.2%,88.2%,97.1%,89.7%,54,0,12,2,2,1,0,0,0,0,8,8,2,7,Y,SEATTLE PUBLIC SCHOOLS,1301 E YESLER WY,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BAINBRIDGE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BAINBRIDGE ISLAND SCHOOL DISTRICT,9330 NE HIGH SCHOOL RD,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BAKER MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,8320 S I ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
BAKER VIEW CHRISTIAN SCHOOL,2014-15,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FERNDALE SCHOOL DISTRICT,5353 WASCHKE RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
BALBOA ELEMENTARY,2014-15,51,64.7%,3.9%,25.5%,5.9%,0.0%,2.0%,0.0%,0.0%,80.4%,80.4%,86.3%,84.3%,96.1%,78.4%,33,2,13,3,0,1,0,0,10,10,7,8,2,11,Y,SPOKANE SCHOOL DISTRICT,3010 W HOLYOKE AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
BALLARD HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,1418 NW 65 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BALLOU JR HIGH,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUYALLUP SCHOOL DISTRICT,9916 136TH ST E,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
BARGE-LINCOLN ELEMENTARY SCHOOL,2014-15,119,84.9%,0.0%,15.1%,0.0%,0.0%,0.0%,0.0%,0.0%,89.1%,89.1%,89.9%,89.1%,91.6%,88.2%,101,0,18,0,0,0,0,0,13,13,12,13,10,14,Y,YAKIMA SCHOOL DISTRICT,219 E I ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
BARKER CENTER,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CENTRAL VALLEY SCHOOL DISTRICT,13313 E BROADWAY,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
BARNES ELEMENTARY,2014-15,52,98.1%,0.0%,0.0%,1.9%,1.9%,0.0%,0.0%,0.0%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,51,0,0,1,1,0,0,0,1,1,1,1,1,1,Y,KELSO SCHOOL DISTRICT,401 BARNES,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
BASIN CITY ELEMENTARY,2014-15,68,86.8%,2.9%,10.3%,0.0%,0.0%,0.0%,0.0%,0.0%,91.2%,91.2%,92.6%,91.2%,95.6%,89.7%,59,2,7,0,0,0,0,0,6,6,5,6,3,7,Y,NORTH FRANKLIN SCHOOL DISTRICT,303 BAILIE BLVD,MESA,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y
BATTLE GROUND HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,PO BOX 200,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
BAY VIEW ELEMENTARY,2014-15,28,89.3%,0.0%,3.6%,7.1%,7.1%,3.6%,0.0%,0.0%,92.9%,92.9%,89.3%,85.7%,96.4%,85.7%,25,0,1,2,2,1,0,0,2,2,3,4,1,4,Y,BURLINGTON-EDISON SCHOOL DISTRICT,15241 JOSH WILSON RD,BURLINGTON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
BEACH ELEM,2014-15,5,80.0%,0.0%,0.0%,20.0%,20.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,80.0%,4,0,0,1,1,0,0,0,0,0,0,0,0,1,Y,FERNDALE SCHOOL DISTRICT,3786 CENTERVIEW ROAD,LUMMI ISLAND,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
BEACHWOOD ELEMENTARY SCHOOL,2014-15,67,89.6%,0.0%,9.0%,1.5%,1.5%,0.0%,0.0%,0.0%,94.0%,94.0%,95.5%,92.5%,95.5%,95.5%,60,0,6,1,1,0,0,0,4,4,3,5,3,3,Y,CLOVER PARK SCHOOL DISTRICT,AMERICAN LK AVE & CONCORD ST,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BEACON AVENUE ELEMENTARY SCHOOL,2014-15,79,75.9%,0.0%,21.5%,2.5%,2.5%,0.0%,0.0%,0.0%,84.8%,84.8%,86.1%,77.2%,94.9%,84.8%,60,0,17,2,2,0,0,0,12,12,11,18,4,12,Y,MONTESANO SCHOOL DISTRICT,1717 EAST BEACON AVENUE,MONTESANO,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-3,Y,N
BEACON HILL ELEMENTARY,2014-15,83,96.4%,2.4%,0.0%,1.2%,1.2%,0.0%,0.0%,0.0%,96.4%,96.4%,98.8%,97.6%,97.6%,98.8%,80,2,0,1,1,0,0,0,3,3,1,2,2,1,Y,KELSO SCHOOL DISTRICT,257 ALPHA DR,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
BEACON HILL INTERNATIONAL SCHOOL,2014-15,92,69.6%,0.0%,30.4%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,82.6%,79.3%,91.3%,78.3%,64,0,28,0,0,0,0,0,0,0,16,19,8,20,Y,SEATTLE PUBLIC SCHOOLS,2025 14 AV S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BEAR CREEK ELEMENTARY,2014-15,24,87.5%,0.0%,4.2%,8.3%,0.0%,8.3%,0.0%,0.0%,95.8%,95.8%,95.8%,95.8%,87.5%,91.7%,21,0,1,2,0,2,0,0,1,1,1,1,3,2,Y,NORTHSHORE SCHOOL DISTRICT,18101 AVONDALE RD NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
BEAVER LAKE MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ISSAQUAH SCHOOL DISTRICT,25025 SE 32ND ST,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
BEAVER VALLEY SCHOOL,2014-15,10,60.0%,10.0%,0.0%,30.0%,0.0%,30.0%,0.0%,0.0%,70.0%,70.0%,60.0%,70.0%,60.0%,60.0%,6,1,0,3,0,3,0,0,3,3,4,3,4,4,Y,CASCADE SCHOOL DISTRICT,19265 BEAVER VALLEY RD,LEAVENWORTH,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N
BELFAIR ELEMENTARY,2014-15,87,85.1%,4.6%,9.2%,1.1%,0.0%,1.1%,0.0%,0.0%,87.4%,87.4%,89.7%,88.5%,95.4%,88.5%,74,4,8,1,0,1,0,0,11,11,9,10,4,10,Y,NORTH MASON SCHOOL DISTRICT,NE 22900 HWY 3,BELFAIR,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
BELL ELEMENTARY,2014-15,66,62.1%,1.5%,31.8%,4.5%,1.5%,3.0%,0.0%,0.0%,69.7%,69.7%,72.7%,69.7%,86.4%,72.7%,41,1,21,3,1,2,0,0,20,20,18,20,9,18,Y,LAKE WASHINGTON SCHOOL DISTRICT,11212 NE 112TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BELLARMINE PREPARATORY SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,2300 S WASHINGTON ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BELLEVUE BIG PICTURE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,14844 SE 22ND STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
BELLEVUE CHILDREN'S ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,14600 NE 24TH ST,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
BELLEVUE CHILDREN'S ACADEMY 2ND LOCATION,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,14600 NE 24TH ST,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,2-8,N,Y
BELLEVUE CHRISTIAN MACK ELEMENTARY,2014-15,30,76.7%,0.0%,0.0%,23.3%,6.7%,13.3%,3.3%,0.0%,83.3%,83.3%,83.3%,83.3%,86.7%,83.3%,23,0,0,7,2,4,1,0,5,5,5,5,4,5,Y,NORTHSHORE SCHOOL DISTRICT,18250 168TH PL NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
BELLEVUE CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,1601 98TH AVE NE,CLYDE HILL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
BELLEVUE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,10416 WOLVERINE WAY,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BELLEVUE MONTESSORI SCHOOL,2014-15,27,96.3%,0.0%,0.0%,3.7%,0.0%,3.7%,0.0%,0.0%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,26,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,BELLEVUE SCHOOL DISTRICT,2411 112TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
BELLINGHAM CHRISTIAN SCHOOL,2014-15,25,64.0%,0.0%,0.0%,36.0%,32.0%,24.0%,0.0%,0.0%,88.0%,80.0%,80.0%,80.0%,84.0%,76.0%,16,0,0,9,8,6,0,0,3,5,5,5,4,6,Y,BELLINGHAM SCHOOL DISTRICT,1600 E SUNSET DR,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
BELLINGHAM HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLINGHAM SCHOOL DISTRICT,2020 CORNWALL AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
BEL-RED BILINGUAL ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,15061 BEL-RED RD,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
BEMISS,2014-15,85,81.2%,3.5%,10.6%,4.7%,0.0%,4.7%,0.0%,0.0%,84.7%,84.7%,87.1%,85.9%,92.9%,84.7%,69,3,9,4,0,4,0,0,13,13,11,12,6,13,Y,SPOKANE SCHOOL DISTRICT,2323 E BRIDGEPORT AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
BENGE ELEMENTARY,2014-15,2,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,100.0%,50.0%,50.0%,50.0%,1,1,0,0,0,0,0,0,1,1,0,1,1,1,Y,BENGE SCHOOL DISTRICT,2978 E. BENGE-WINONA RD.,BENGE,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
BENJAMIN FRANKLIN ELEMENTARY,2014-15,71,80.3%,2.8%,9.9%,7.0%,0.0%,7.0%,0.0%,0.0%,87.3%,87.3%,87.3%,83.1%,91.5%,85.9%,57,2,7,5,0,5,0,0,9,9,9,12,6,10,Y,VANCOUVER SCHOOL DISTRICT,5206 FRANKLIN ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
BENNETT ELEMENTARY SCHOOL,2014-15,81,95.1%,0.0%,1.2%,3.7%,0.0%,3.7%,0.0%,0.0%,97.5%,100.0%,97.5%,97.5%,97.5%,96.3%,77,0,1,3,0,3,0,0,2,0,2,2,2,3,Y,BELLEVUE SCHOOL DISTRICT,17900 NE 16TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BENSON HILL ELEMENTARY SCHOOL,2014-15,93,94.6%,2.2%,0.0%,3.2%,1.1%,2.2%,0.0%,0.0%,94.6%,94.6%,96.8%,95.7%,96.8%,94.6%,88,2,0,3,1,2,0,0,5,5,3,4,3,5,Y,RENTON SCHOOL DISTRICT,18665 116TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BERNEY ELEMENTARY SCHOOL,2014-15,67,74.6%,1.5%,20.9%,3.0%,0.0%,3.0%,0.0%,0.0%,88.1%,88.1%,85.1%,80.6%,89.6%,85.1%,50,1,14,2,0,2,0,0,8,8,10,13,7,10,Y,WALLA WALLA PUBLIC SCHOOLS,1718 PLEASANT ST,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
