School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
MARTIN LUTHER KING JR. ELEMENTARY SCHOOL,2013-14,59,93.2%,0.0%,5.1%,1.7%,0.0%,1.7%,0.0%,0.0%,100.0%,100.0%,94.9%,93.2%,98.3%,94.9%,55,0,3,1,0,1,0,0,0,0,3,4,1,3,Y,SEATTLE PUBLIC SCHOOLS,7740 34 AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MARTIN SORTUN ELEMENTARY SCHOOL,2013-14,96,90.6%,2.1%,5.2%,2.1%,1.0%,1.0%,0.0%,0.0%,94.8%,94.8%,92.7%,97.9%,96.9%,93.8%,87,2,5,2,1,1,0,0,5,5,7,2,3,6,Y,KENT SCHOOL DISTRICT,12711 SE 248TH ST,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
MARVISTA ELEMENTARY,2013-14,76,90.8%,1.3%,2.6%,5.3%,3.9%,1.3%,0.0%,0.0%,97.4%,97.4%,92.1%,94.7%,96.1%,94.7%,69,1,2,4,3,1,0,0,2,2,6,4,3,4,Y,HIGHLINE SCHOOL DISTRICT,19800 MARINE VIEW DR SW,NORMANDY PARK,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
MARY M KNIGHT ELEMENTARY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARY M KNIGHT SCHOOL DISTRICT,1500 W BEEVILLE LOOP RD,ELMA,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y
MARY M KNIGHT HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARY M KNIGHT SCHOOL DISTRICT,2987 W MATLOCK BRADY RD,ELMA,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,7-12,N,N
MARY PURCELL ELEMENTARY SCHOOL,2013-14,51,82.4%,11.8%,0.0%,5.9%,0.0%,5.9%,0.0%,0.0%,92.2%,92.2%,92.2%,92.2%,90.2%,90.2%,42,6,0,3,0,3,0,0,4,4,4,4,5,5,Y,SEDRO-WOOLLEY SCHOOL DISTRICT,700 BENNETT STREET,SEDRO-WOOLLEY,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MARY WALKER HIGH SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MARY WALKER SCHOOL DISTRICT,PO BOX 159,SPRINGDALE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
MARYSVILLE ARTS AND TECHNOLOGY HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,7204 27TH AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
MARYSVILLE COOP PROGRAM,2013-14,48,81.3%,0.0%,8.3%,10.4%,0.0%,10.4%,0.0%,0.0%,83.3%,83.3%,85.4%,83.3%,89.6%,85.4%,39,0,4,5,0,5,0,0,8,8,7,8,5,7,Y,MARYSVILLE SCHOOL DISTRICT,2415 74TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
MARYSVILLE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,4923 67TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
MARYSVILLE MOUNTAIN VIEW HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,4317 76TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
MARYSVILLE SD SPECIAL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,4220 80TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-13,Y,Y
MASON,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,3901 N 28TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MASON COUNTY CHRISTIAN SCHOOL,2013-14,7,42.9%,14.3%,0.0%,42.9%,0.0%,42.9%,0.0%,0.0%,71.4%,71.4%,71.4%,57.1%,85.7%,57.1%,3,1,0,3,0,3,0,0,2,2,2,3,1,3,Y,SHELTON SCHOOL DISTRICT,470 E EAGLE RIDGE DR,SHELTON,MASON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
MATHEIA SCHOOL,2013-14,16,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,2205 NW 67TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
MATTAWA ELEMENTARY,2013-14,91,94.5%,0.0%,5.5%,0.0%,0.0%,0.0%,0.0%,0.0%,95.6%,95.6%,95.6%,94.5%,100.0%,94.5%,86,0,5,0,0,0,0,0,4,4,4,5,0,5,Y,WAHLUKE SCHOOL DISTRICT,P.O. BOX 907,MATTAWA,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
MATTSON MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,KENT SCHOOL DISTRICT,16400 SE 251ST ST,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
MAYA ANGELOU ELEMENTARY,2013-14,150,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,150,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PASCO SCHOOL DISTRICT,6001 ROAD 84,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
MAYFLOWER CHRISTIAN SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CLE ELUM-ROSLYN SCHOOL DISTRICT,541 E 3RD ST,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,P-1,Y,N
MAYWOOD HILLS ELEMENTARY,2013-14,98,87.8%,1.0%,4.1%,7.1%,2.0%,5.1%,0.0%,0.0%,93.9%,93.9%,93.9%,92.9%,90.8%,92.9%,86,1,4,7,2,5,0,0,6,6,6,7,9,7,Y,NORTHSHORE SCHOOL DISTRICT,19510 104 AV NE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
MAYWOOD MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ISSAQUAH SCHOOL DISTRICT,14490 168TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MC DONALD ELEMENTARY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,4400 INTERLAKE AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MCAULIFFE ELEMENTARY,2013-14,66,68.2%,0.0%,28.8%,3.0%,1.5%,1.5%,0.0%,0.0%,83.3%,83.3%,83.3%,83.3%,84.8%,84.8%,45,0,19,2,1,1,0,0,11,11,11,11,10,10,Y,LAKE WASHINGTON SCHOOL DISTRICT,23823 NE 22ND,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MCCARVER ELEMENTARY SCHOOL,2013-14,74,52.7%,2.7%,43.2%,1.4%,0.0%,1.4%,0.0%,0.0%,73.0%,100.0%,75.7%,67.6%,77.0%,67.6%,39,2,32,1,0,1,0,0,20,0,18,24,17,24,Y,TACOMA SCHOOL DISTRICT,2111 S J ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MCCLEARY ELEM,2013-14,36,41.7%,0.0%,52.8%,5.6%,0.0%,5.6%,0.0%,0.0%,69.4%,69.4%,77.8%,63.9%,77.8%,66.7%,15,0,19,2,0,2,0,0,11,11,8,13,8,12,Y,MCCLEARY SCHOOL DISTRICT,611 S. MAIN ST.,MCCLEARY,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-8,Y,Y
MCCLURE ELEMENTARY SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,GRANDVIEW SCHOOL DISTRICT,811 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
MCCLURE ELEMENTARY SCHOOL,2013-14,103,87.4%,1.0%,10.7%,1.0%,0.0%,1.0%,0.0%,0.0%,89.3%,89.3%,91.3%,90.3%,97.1%,90.3%,90,1,11,1,0,1,0,0,11,11,9,10,3,10,Y,YAKIMA SCHOOL DISTRICT,1222 S 2ND AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
MCCLURE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,1915 1 AV W,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MCDERMOTH ELEMENTARY,2013-14,55,85.5%,12.7%,0.0%,1.8%,0.0%,1.8%,0.0%,0.0%,85.5%,85.5%,85.5%,85.5%,98.2%,85.5%,47,7,0,1,0,1,0,0,8,8,8,8,1,8,Y,ABERDEEN SCHOOL DISTRICT,409 NORTH K ST,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
MCDONALD ELEMENTARY SCHOOL,2013-14,44,88.6%,0.0%,6.8%,4.5%,0.0%,4.5%,0.0%,0.0%,95.5%,95.5%,95.5%,97.7%,97.7%,93.2%,39,0,3,2,0,2,0,0,2,2,2,1,1,3,Y,CENTRAL VALLEY SCHOOL DISTRICT,1512 S. MCDONALD RD.,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
MCFARLAND MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OTHELLO SCHOOL DISTRICT,790 S 10TH AVE,OTHELLO,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
MCGILVRA ELEMENTARY SCHOOL,2013-14,56,75.0%,0.0%,23.2%,1.8%,0.0%,1.8%,0.0%,0.0%,100.0%,100.0%,85.7%,85.7%,87.5%,83.9%,42,0,13,1,0,1,0,0,0,0,8,8,7,9,Y,SEATTLE PUBLIC SCHOOLS,1617 38 AV E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MCKENNA ELEMENTARY,2013-14,76,93.4%,1.3%,2.6%,2.6%,2.6%,0.0%,0.0%,0.0%,94.7%,94.7%,94.7%,96.1%,96.1%,93.4%,71,1,2,2,2,0,0,0,4,4,4,3,3,5,Y,YELM SCHOOL DISTRICT,PO BOX 476,YELM,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
MCKENNY ELEMENTARY,2013-14,46,80.4%,0.0%,10.9%,8.7%,0.0%,8.7%,0.0%,0.0%,89.1%,89.1%,89.1%,87.0%,93.5%,84.8%,37,0,5,4,0,4,0,0,5,5,5,6,3,7,Y,OLYMPIA SCHOOL DISTRICT,3250 MORSE MERRYMAN RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
MCKINLEY ELEMENTARY SCHOOL,2013-14,72,83.3%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,87.5%,88.9%,84.7%,91.7%,88.9%,60,0,12,0,0,0,0,0,9,9,8,11,6,8,Y,YAKIMA SCHOOL DISTRICT,621 S 13TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
MCKNIGHT MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,RENTON SCHOOL DISTRICT,1200 EDMONDS AVE NE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MCLANE ELEMENTARY SCHOOL,2013-14,65,63.1%,1.5%,26.2%,9.2%,1.5%,6.2%,1.5%,0.0%,78.5%,78.5%,81.5%,73.8%,81.5%,78.5%,41,1,17,6,1,4,1,0,14,14,12,17,12,14,Y,OLYMPIA SCHOOL DISTRICT,200 DELPHI RD SW,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
MCLOUGHLIN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PASCO SCHOOL DISTRICT,2803 N ROAD 88,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
MCLOUGHLIN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VANCOUVER SCHOOL DISTRICT,5802 MACARTHUR BLVD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
MCMICKEN HEIGHTS ELEMENTARY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,HIGHLINE SCHOOL DISTRICT,3708 S 168TH ST,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
MCMURRAY MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VASHON ISLAND SCHOOL DISTRICT,9329 SW CEMETERY RD,VASHON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MEAD ALTERNATIVE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MEAD SCHOOL DISTRICT,529 W HASTINGS,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
MEAD ELEMENTARY,2013-14,81,70.4%,0.0%,28.4%,1.2%,1.2%,0.0%,0.0%,0.0%,77.8%,76.5%,79.0%,79.0%,85.2%,76.5%,57,0,23,1,1,0,0,0,18,19,17,17,12,19,Y,LAKE WASHINGTON SCHOOL DISTRICT,1725 216TH AVE NE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MEAD SENIOR HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MEAD SCHOOL DISTRICT,302 W HASTINGS RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
MEADOW RIDGE ELEMENTARY,2013-14,79,79.7%,8.9%,3.8%,7.6%,0.0%,7.6%,0.0%,0.0%,89.9%,89.9%,89.9%,88.6%,96.2%,84.8%,63,7,3,6,0,6,0,0,8,8,8,9,3,12,Y,MEAD SCHOOL DISTRICT,15601 N FREYA ST,MEAD,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
MEADOW RIDGE ELEMENTARY SCHOOL,2013-14,89,80.9%,4.5%,14.6%,0.0%,1.1%,1.1%,0.0%,0.0%,87.6%,87.6%,95.5%,88.8%,93.3%,92.1%,72,4,13,0,1,1,0,0,11,11,4,10,6,7,Y,KENT SCHOOL DISTRICT,27710 108TH AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
MEADOWDALE ELEMENTARY SCHOOL,2013-14,71,90.1%,1.4%,1.4%,7.0%,0.0%,5.6%,1.4%,0.0%,91.5%,91.5%,91.5%,93.0%,93.0%,90.1%,64,1,1,5,0,4,1,0,6,6,6,5,5,7,Y,EDMONDS SCHOOL DISTRICT,6505 168TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MEADOWDALE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,6002 168TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
MEADOWDALE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,6500 168TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
MEADOWGLADE SDA SCHOOL,2013-14,20,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,18717 NE 109TH AVE,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y
MEADOWS ELEMENTARY,2013-14,68,36.8%,0.0%,63.2%,0.0%,0.0%,0.0%,0.0%,0.0%,63.2%,63.2%,67.6%,50.0%,82.4%,61.8%,25,0,43,0,0,0,0,0,25,25,22,34,12,26,Y,NORTH THURSTON PUBLIC SCHOOLS,836 DEERBRUSH DR SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
MEDICAL LAKE ALTERNATIVE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MEDICAL LAKE SCHOOL DISTRICT,PO BOX 128,MEDICAL LAKE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
MEDICAL LAKE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MEDICAL LAKE SCHOOL DISTRICT,PO BOX 128,MEDICAL LAKE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
MEDICAL LAKE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MEDICAL LAKE SCHOOL DISTRICT,PO BOX 128,MEDICAL LAKE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
MEDINA ACADEMY,2013-14,38,86.8%,0.0%,5.3%,7.9%,0.0%,5.3%,2.6%,0.0%,97.4%,100.0%,94.7%,94.7%,97.4%,92.1%,33,0,2,3,0,2,1,0,1,0,2,2,1,3,Y,LAKE WASHINGTON SCHOOL DISTRICT,16600 NE 80TH ST,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-7,Y,Y
MEDINA ELEMENTARY SCHOOL,2013-14,53,84.9%,0.0%,13.2%,1.9%,0.0%,1.9%,0.0%,0.0%,84.9%,100.0%,94.3%,94.3%,92.5%,92.5%,45,0,7,1,0,1,0,0,8,0,3,3,4,4,Y,BELLEVUE SCHOOL DISTRICT,8001 NE 8TH ST,MEDINA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MEEKER ELEMENTARY,2013-14,55,90.9%,0.0%,1.8%,7.3%,1.8%,5.5%,0.0%,0.0%,96.4%,100.0%,96.4%,96.4%,90.9%,96.4%,50,0,1,4,1,3,0,0,2,0,2,2,5,2,Y,PUYALLUP SCHOOL DISTRICT,409 5TH ST SW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
MEEKER MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,KENT SCHOOL DISTRICT,12600 SE 192ND ST,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
MEEKER MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,4402 NASSAU AVE NE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MELVIN G SYRE ELEMENTARY,2013-14,70,87.1%,0.0%,0.0%,12.9%,4.3%,8.6%,0.0%,0.0%,92.9%,92.9%,91.4%,91.4%,90.0%,91.4%,61,0,0,9,3,6,0,0,5,5,6,6,7,6,Y,SHORELINE SCHOOL DISTRICT,19545 12TH AVENUE N.W.,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
MERCER ISLAND HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MERCER ISLAND SCHOOL DISTRICT,9100 SE 42ND,MERCER ISLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
MERCER MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,1600 S COLUMBIAN WY,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MEREDITH HILL ELEMENTARY SCHOOL,2013-14,68,83.8%,1.5%,5.9%,8.8%,1.5%,5.9%,0.0%,1.5%,92.6%,92.6%,94.1%,92.6%,86.8%,91.2%,57,1,4,6,1,4,0,1,5,5,4,5,9,6,Y,FEDERAL WAY SCHOOL DISTRICT,5830 S 300TH ST,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MERIDIAN ELEMENTARY SCHOOL,2013-14,93,86.0%,2.2%,11.8%,0.0%,0.0%,0.0%,0.0%,0.0%,92.5%,92.5%,94.6%,89.2%,94.6%,93.5%,80,2,11,0,0,0,0,0,7,7,5,10,5,6,Y,KENT SCHOOL DISTRICT,25621 140TH AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
MERIDIAN HIGH SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MERIDIAN SCHOOL DISTRICT,194 W LAUREL ROAD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
MERIDIAN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,KENT SCHOOL DISTRICT,23480 120TH AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
