School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
CEDAR RIVER ELEMENTARY,2017-18,Y,89,94.4%,1.1%,1.1%,3.4%,1.1%,3.4%,0.0%,0.0%,95.5%,95.5%,95.5%,95.5%,96.6%,95.5%,84,1,1,3,1,3,0,0,4,4,4,4,3,4,Public,Tahoma School District,22615 Sweeney Rd SE,Maple Valley,PIERCE,Puget Sound Educational Service District 121,0,0
J J SMITH ELEMENTARY SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Enumclaw School District,1640 Fell St.,Enumclaw,KING,Puget Sound Educational Service District 121,0,0
Columbia River Gorge Elementary,2017-18,Y,62,88.7%,4.8%,1.6%,4.8%,3.2%,1.6%,0.0%,0.0%,93.5%,93.5%,93.5%,91.9%,95.2%,93.5%,55,3,1,3,2,1,0,0,4,4,4,5,3,4,Public,Washougal School District,35300 SE Evergreen Hwy,Washougal,CLARK,Educational Service District 112,0,0
SVI 1418 RE-ENGAGEMENT PROGRAM,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,1701 Broadway,Seattle,KING,Puget Sound Educational Service District 121,0,0
Liberty Creek Elementary School,2017-18,Y,183,76.5%,0.0%,15.3%,8.2%,0.0%,7.7%,1.1%,0.0%,85.8%,85.8%,87.4%,83.6%,88.5%,82.0%,140,0,28,15,0,14,2,0,26,26,23,30,21,33,Public,Central Valley School District,23909 E. Country Vista Dr.,Liberty Lake,SPOKANE,Educational Service District 101,0,0
WANIC SKILL CENTER,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,11605 132nd Ave NE,Redmond,KING,Puget Sound Educational Service District 121,0,0
NW CAREER AND TECH ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mount Vernon School District,2205 W Campus P,Mt Vernon,SKAGIT,Northwest Educational Service District 189,0,0
PIERCE COUNTY SKILLS CENTER,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bethel School District,16117 Canyon Rd E,Puyallup,PIERCE,Puget Sound Educational Service District 121,0,0
Graduation Alliance (OLS),2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,20420 68th Ave W,Lynwood,KING,Puget Sound Educational Service District 121,0,0
Good Shepherd Montessori,2017-18,Y,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Evergreen School District (Clark),805 SE Ellsworth Rd,Vancouver,CLARK,Educational Service District 112,0,0
HOLY FAMILY SCHOOL,2017-18,Y,12,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Clarkston School District,1002 Chestnut St,Clarkston,ASOTIN,Educational Service District 123,1,1
BETHLEHEM LUTHERAN SCHOOL,2017-18,Y,24,95.8%,0.0%,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,23,0,1,0,0,0,0,0,1,1,1,1,1,1,Private,Kennewick School District,2505 W 27th Ave,Kennewick,BENTON,Educational Service District 123,1,1
ST. JOSEPH'S SCHOOL,2017-18,Y,31,93.5%,0.0%,0.0%,6.5%,0.0%,6.5%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,96.8%,96.8%,29,0,0,2,0,2,0,0,0,0,0,0,1,1,Private,Kennewick School District,901 W 4th Ave,Kennewick,BENTON,Educational Service District 123,1,1
CHRIST THE KING SCHOOL,2017-18,Y,43,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,43,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Richland School District,1122 Long Ave,Richland,BENTON,Educational Service District 123,1,1
ST. JOSEPH'S SCHOOL,2017-18,Y,22,90.9%,0.0%,0.0%,9.1%,0.0%,9.1%,0.0%,0.0%,95.5%,95.5%,95.5%,90.9%,90.9%,90.9%,20,0,0,2,0,2,0,0,1,1,1,2,2,2,Private,Wenatchee School District,600 Saint Joseph Pl,Wenatchee,CHELAN,North Central Educational Service District 171,1,0
Cascade Christian Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Wenatchee School District,600 N Western Ave,Wenatchee,CHELAN,North Central Educational Service District 171,1,1
Queen of Angels School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Port Angeles School District,1007 S Oak St,Port Angeles,CLALLAM,Olympic Educational Service District 114,1,1
OUR LADY OF LOURDES SCHOOL,2017-18,Y,15,93.3%,0.0%,0.0%,6.7%,0.0%,6.7%,0.0%,0.0%,100.0%,100.0%,100.0%,93.3%,93.3%,93.3%,14,0,0,1,0,1,0,0,0,0,0,1,1,1,Private,Vancouver School District,4701 NW Franklin St,Vancouver,CLARK,Educational Service District 112,1,1
BK Play Academy for Gifted Children,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Bellevue School District,6236 122nd Ave SE,Bellevue,KING,Puget Sound Educational Service District 121,1,0
FIRST PRESBYTERIAN CHRISTIAN SCHOOL,2017-18,Y,26,88.5%,3.8%,3.8%,3.8%,3.8%,0.0%,0.0%,0.0%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,23,1,1,1,1,0,0,0,1,1,1,1,1,1,Private,Spokane School District,318 S Cedar,Spokane,SPOKANE,Educational Service District 101,1,0
Bridgeway Christian Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Ferndale School District,858 W Smith Rd,Bellingham,WHATCOM,Northwest Educational Service District 189,1,0
Christ the King Lutheran School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Central Kitsap School District,8065 Chico Way NW,Bremerton,KITSAP,Olympic Educational Service District 114,1,1
Northwest Free School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Renton School District,1427 Queen Ave NE,Renton,KING,Puget Sound Educational Service District 121,1,1
Seabury School--Middle School Campus,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Tacoma School District,925 Court C,Tacoma,PIERCE,Puget Sound Educational Service District 121,0,1
Seton Catholic College Prep,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Evergreen School District (Clark),811 NE 112th Ave  #200,Vancouver,CLARK,Educational Service District 112,0,0
MADRONA SCHOOL,2017-18,Y,29,79.3%,0.0%,0.0%,20.7%,0.0%,20.7%,0.0%,0.0%,82.8%,82.8%,79.3%,79.3%,79.3%,79.3%,23,0,0,6,0,6,0,0,5,5,6,6,6,6,Private,Bainbridge Island School District,219 Madison Ave N,Bainbridge Island,KITSAP,Puget Sound Educational Service District 121,1,1
MMSC DAY SCHOOL,2017-18,Y,8,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,4,0,4,0,0,0,0,0,3,3,3,3,3,3,Private,Seattle Public Schools,8511 15th Avenue NE,Seattle,KING,Puget Sound Educational Service District 121,1,1
MONTESSORI AT SAMISH WOODS,2017-18,Y,13,84.6%,0.0%,0.0%,15.4%,7.7%,169.2%,0.0%,0.0%,92.3%,92.3%,92.3%,92.3%,84.6%,84.6%,11,0,0,2,1,22,0,0,1,1,1,1,2,2,Private,Bellingham School District,1027 Samish Way,Bellingham,WHATCOM,Northwest Educational Service District 189,1,1
CEDAR CREST BELLEWOOD,2017-18,Y,52,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,52,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Bellevue School District,2125 122th Ave NE,Bellevue,KING,Puget Sound Educational Service District 121,1,0
EAGLE VIEW CHRISTIAN SCHOOL,2017-18,Y,15,73.3%,20.0%,0.0%,6.7%,6.7%,0.0%,0.0%,0.0%,93.3%,93.3%,86.7%,86.7%,93.3%,86.7%,11,3,0,1,1,0,0,0,1,1,2,2,1,2,Private,Yelm School District,13036 Morris Rd SE,Yelm,THURSTON,Educational Service District 113,1,1
Light of Faith Christian Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Everett School District,18008 Bothell-Everett Hwy #H,Bothell,SNOHOMISH,Northwest Educational Service District 189,1,1
POPE JOHN PAUL II HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,North Thurston Public Schools,5608 Pacific Ave SE,Lacey,THURSTON,Educational Service District 113,0,0
St. Joseph School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Vancouver School District,6500 Highland Dr,Vancouver,CLARK,Educational Service District 112,1,1
COLUMBIA ADVENTIST ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Battle Ground School District,11100 NE 189th St,Battle Ground,CLARK,Educational Service District 112,0,0
MEADOWGLADE SDA SCHOOL,2017-18,Y,23,82.6%,4.3%,0.0%,13.0%,0.0%,13.0%,0.0%,0.0%,82.6%,82.6%,87.0%,87.0%,87.0%,82.6%,19,1,0,3,0,3,0,0,4,4,3,3,3,4,Private,Battle Ground School District,18717 NE 109th Ave,Battle Ground,CLARK,Educational Service District 112,1,1
ST. ROSE SCHOOL,2017-18,Y,11,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Longview School District,720 26th Ave,Longview,COWLITZ,Educational Service District 112,1,1
THREE RIVERS CHRISTIAN SCHOOL-LONGVIEW ELEM,2017-18,Y,13,69.2%,0.0%,30.8%,0.0%,0.0%,0.0%,0.0%,0.0%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,9,0,4,0,0,0,0,0,4,4,4,4,4,4,Private,Longview School District,2610 Ocean Beach Hwy,Longview,COWLITZ,Educational Service District 112,1,1
SEATTLE JEWISH COMMUNITY SCHOOL,2017-18,Y,10,90.0%,0.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,1,0,0,0,0,0,1,0,0,0,0,0,Private,Seattle Public Schools,12351 8th Ave NE,Seattle,KING,Puget Sound Educational Service District 121,1,0
ST. PATRICK SCHOOL,2017-18,Y,23,73.9%,26.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,73.9%,73.9%,73.9%,73.9%,73.9%,73.9%,17,6,0,0,0,0,0,0,6,6,6,6,6,6,Private,Pasco School District,1016 N 14th Ave,Pasco,FRANKLIN,Educational Service District 123,1,1
TRI-CITY JUNIOR ACADEMY,2017-18,Y,7,71.4%,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,85.7%,71.4%,100.0%,85.7%,71.4%,5,2,0,0,0,0,0,0,1,1,2,0,1,2,Private,Pasco School District,4115 W Henry St,Pasco,FRANKLIN,Educational Service District 123,1,1
SEATTLE AREA GERMAN AMERICAN SCHOOL,2017-18,Y,17,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,5031 University Way NE,Seattle,KING,Puget Sound Educational Service District 121,1,0
Sound View Education dba Sterling West Seattle Campus,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,9205 3rd Ave Sw,Seattle,KING,Puget Sound Educational Service District 121,0,1
SUNFIELD WALDORF SCHOOL,2017-18,Y,22,45.5%,9.1%,0.0%,45.5%,9.1%,36.4%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,45.5%,45.5%,10,2,0,10,2,8,0,0,11,11,11,11,12,12,Private,Chimacum School District,111 Sunfield Ln,Port Hadlock,JEFFERSON,Olympic Educational Service District 114,1,1
HILLSIDE ACADEMY,2017-18,Y,9,88.9%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,0.0%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,8,0,0,1,0,1,0,0,1,1,1,1,1,1,Private,Riverview School District,15520 Main St NE,Duvall,KING,Puget Sound Educational Service District 121,1,1
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,2017-18,Y,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,520 NE Ravenna Blvd,Seattle,KING,Puget Sound Educational Service District 121,1,1
North Whidbey Kid's Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Oak Harbor School District,297 NE Harvest Dr.,Oak Harbor,ISLAND,Northwest Educational Service District 189,1,0
MONTESSORI COUNTRY SCHOOL - CHILDREN'S HOUSE,2017-18,Y,13,46.2%,38.5%,0.0%,15.4%,0.0%,15.4%,0.0%,0.0%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,6,5,0,2,0,2,0,0,5,5,5,5,5,5,Private,Bainbridge Island School District,10994 ARROW POINT DR,Bainbridge Island,KITSAP,Puget Sound Educational Service District 121,1,0
Slavic Christian Academy-Vancouver,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Evergreen School District (Clark),15407 NE 84th Street,Vancouver,CLARK,Educational Service District 112,1,1
UCIC SCHOOL,2017-18,Y,33,97.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,32,1,0,0,0,0,0,0,1,1,1,1,1,1,Private,Northshore School District,3727 240th St SE,Bothell,KING,Puget Sound Educational Service District 121,1,0
Dolan Academy & Learning Center,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Northshore School District,18500 156th Ave NE,Woodinville,KING,Puget Sound Educational Service District 121,1,1
STELLA MARIS ACADEMY,2017-18,Y,4,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,3,0,0,1,0,1,0,0,1,1,1,1,1,1,Private,Edmonds School District,520 NE Ravenna Blvd,Edmonds,SNOHOMISH,Northwest Educational Service District 189,1,1
BELLEVUE CHILDREN'S ACADEMY 2ND LOCATION,2017-18,Y,109,74.3%,0.0%,25.7%,0.0%,0.0%,0.0%,0.0%,0.0%,74.3%,74.3%,74.3%,74.3%,74.3%,74.3%,81,0,28,0,0,0,0,0,28,28,28,28,28,28,Private,Bellevue School District,14600 NE 24th St,Bellevue,KING,Puget Sound Educational Service District 121,0,1
BLOSSOMING HILL MONTESSORI,2017-18,Y,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Tahoma School District,23855 SE 216th St,Maple Valley,KING,Puget Sound Educational Service District 121,1,1
PACIFIC LEARNING ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Issaquah School District,22525 SE 64th Pl,Issaquah,KING,Puget Sound Educational Service District 121,0,1
Riverday School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Spokane School District,116 W Indiana,Spokane,SPOKANE,Educational Service District 101,1,1
Spanish with Sarah,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Camas School District,2204 NE Birch St,Camas,CLARK,Educational Service District 112,1,0
THE LAKE AND PARK SCHOOL,2017-18,Y,21,85.7%,4.8%,0.0%,9.5%,0.0%,9.5%,0.0%,0.0%,100.0%,100.0%,95.2%,100.0%,90.5%,90.5%,18,1,0,2,0,2,0,0,0,0,1,0,2,2,Private,Seattle Public Schools,3201 Hunter Blvd S,Seattle,KING,Puget Sound Educational Service District 121,1,1
GRACE CHRISTIAN ACADEMY,2017-18,Y,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Republic School District,35 North Clark Ave,Republic,FERRY,Educational Service District 101,1,1
ST. ROSE OF LIMA SCHOOL,2017-18,Y,11,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Ephrata School District,520 Nat Washington Way,Ephrata,GRANT,North Central Educational Service District 171,1,1
ST. MARY SCHOOL,2017-18,Y,22,81.8%,0.0%,18.2%,0.0%,0.0%,0.0%,0.0%,0.0%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,18,0,4,0,0,0,0,0,4,4,4,4,4,4,Private,Aberdeen School District,518 North H St,Aberdeen,GRAYS HARBOR,Educational Service District 113,1,1
SUNRISE BEACH SCHOOL,2017-18,Y,6,83.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,0.0%,100.0%,100.0%,100.0%,83.3%,83.3%,83.3%,5,0,0,1,0,1,0,0,0,0,0,1,1,1,Private,Griffin School District,1601 North Street,Olympia,THURSTON,Educational Service District 113,1,1
OAK HARBOR CHRISTIAN SCHOOL,2017-18,Y,8,37.5%,50.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,37.5%,37.5%,50.0%,37.5%,75.0%,37.5%,3,4,0,1,0,1,0,0,5,5,4,5,2,5,Private,Oak Harbor School District,675 E Whidbey Ave,Oak Harbor,ISLAND,Northwest Educational Service District 189,1,1
Cedarbrook Adventist Christian,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Chimacum School District,461 Kennedy Rd,Port Hadlock,JEFFERSON,Olympic Educational Service District 114,1,1
ASSUMPTION ST. BRIDGET,2017-18,Y,51,90.2%,2.0%,5.9%,2.0%,0.0%,2.0%,0.0%,0.0%,94.1%,94.1%,92.2%,92.2%,96.1%,90.2%,46,1,3,1,0,1,0,0,3,3,4,4,2,5,Private,Seattle Public Schools,6220 32nd Ave NE,Seattle,KING,Puget Sound Educational Service District 121,1,1
Montessori Schoolhouse,2017-18,Y,4,50.0%,0.0%,25.0%,25.0%,0.0%,25.0%,0.0%,0.0%,100.0%,100.0%,75.0%,100.0%,100.0%,75.0%,2,0,1,1,0,1,0,0,0,0,1,0,0,1,Private,Central Kitsap School District,5550 Tracyton Blvd,Bremerton,KITSAP,Olympic Educational Service District 114,1,0
NORTHERN LIGHTS MONTESSORI SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Lake Washington School District,8460 160th Ave NE,Redmond,KING,Puget Sound Educational Service District 121,1,0
Makkah Islamic School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,3613 S JUNEAU ST,Seattle,KING,Puget Sound Educational Service District 121,1,1
SEATTLE AMISTAD SCHOOL,2017-18,Y,25,52.0%,0.0%,44.0%,4.0%,0.0%,0.0%,4.0%,0.0%,52.0%,52.0%,52.0%,52.0%,52.0%,52.0%,13,0,11,1,0,0,1,0,12,12,12,12,12,12,Private,Seattle Public Schools,2410 E Cherry,Seattle,KING,Puget Sound Educational Service District 121,1,0
SONSHINE CHRISTIAN ELEMENTARY,2017-18,Y,14,85.7%,0.0%,0.0%,14.3%,0.0%,7.1%,0.0%,7.1%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,12,0,0,2,0,1,0,1,2,2,2,2,2,2,Private,Vancouver School District,11208 NE Hazel Dell Avenue,Vancouver,CLARK,Educational Service District 112,1,0
Spokane Windsong School,2017-18,Y,14,50.0%,0.0%,21.4%,28.6%,0.0%,28.6%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,7,0,3,4,0,4,0,0,7,7,7,7,7,7,Private,Spokane School District,4225 W. Freemont Rd,Spokane,SPOKANE,Educational Service District 101,1,0
ST. PAUL'S ACADEMY - 2ND LOCATION,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Bellingham School District,1509 E Victor Street,Bellingham,WHATCOM,Northwest Educational Service District 189,0,1
The Well-Trained Mind Montessori,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Kent School District,19455 136th Place SE,Renton,KING,Puget Sound Educational Service District 121,1,0
SPRING ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,113045 8th Ave NE,Seattle,KING,Puget Sound Educational Service District 121,0,1
CAPITAL MONTESSORI SCHOOL,2017-18,Y,10,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,North Thurston Public Schools,730Lilly Rd SE,Olympia,THURSTON,Educational Service District 113,1,0
L & E Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Lake Washington School District,308 4th Ave S,Kirkland,KING,Puget Sound Educational Service District 121,0,0
MAYFLOWER CHRISTIAN SCHOOL,2017-18,Y,4,75.0%,0.0%,0.0%,25.0%,25.0%,0.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,3,0,0,1,1,0,0,0,1,1,1,1,1,1,Private,Cle Elum-Roslyn School District,541 E 3rd St,Cle Elum,KITTITAS,Educational Service District 105,1,0
MONARCH ACADEMY,2017-18,Y,8,50.0%,0.0%,37.5%,12.5%,0.0%,12.5%,0.0%,0.0%,87.5%,87.5%,87.5%,50.0%,87.5%,87.5%,4,0,3,1,0,1,0,0,1,1,1,4,1,1,Private,Clarkston School District,1465 Poplar Street,Clarkston,ASOTIN,Educational Service District 123,1,1
NORTH SEATTLE FRENCH SCHOOL,2017-18,Y,13,84.6%,15.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,84.6%,100.0%,100.0%,84.6%,92.3%,100.0%,11,2,0,0,0,0,0,0,2,0,0,2,1,0,Private,Seattle Public Schools,6615 Dayton ave N,Seattle,KING,Puget Sound Educational Service District 121,1,0
Northwest Achieve School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Spokane School District,116 W Indiana Ave,Spokane,SPOKANE,Educational Service District 101,1,0
SAGEBRUSH ELEMENTARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Richland School District,507 Wright Ave,Richland,BENTON,Educational Service District 123,0,0
SEATTLE NATIVITY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,2800 S Massachusetts St,Seattle,KING,Puget Sound Educational Service District 121,0,1
CHRIST THE KING SCHOOL,2017-18,Y,20,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,415 N 117th St,Seattle,KING,Puget Sound Educational Service District 121,1,1
CONCORDIA LUTHERAN SCHOOL,2017-18,Y,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,7040 36th Ave NE,Seattle,KING,Puget Sound Educational Service District 121,1,1
EPIPHANY SCHOOL,2017-18,Y,34,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,34,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,3611 E Denny Way,Seattle,KING,Puget Sound Educational Service District 121,1,0
The Evergreen School,2017-18,Y,45,75.6%,17.8%,0.0%,6.7%,0.0%,6.7%,0.0%,0.0%,88.9%,91.1%,91.1%,88.9%,88.9%,93.3%,34,8,0,3,0,3,0,0,5,4,4,5,5,3,Private,Shoreline School District,15201 Meridian Ave N,Shoreline,KING,Puget Sound Educational Service District 121,1,1
FOREST RIDGE SCHOOL OF SACRED HEART,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Bellevue School District,4800 139th Ave SE,Bellevue,KING,Puget Sound Educational Service District 121,0,1
THE BUSH SCHOOL,2017-18,Y,32,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,32,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,3400 E Harrison,Seattle,KING,Puget Sound Educational Service District 121,1,1
Evergreen Christian Private School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Federal Way School District,3405 S 336th St,Federal Way,KING,Puget Sound Educational Service District 121,1,1
Taproot School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,9131 California Ave SW,Seattle,KING,Puget Sound Educational Service District 121,1,0
